Event,Reference (Event),ID (Site),ID (Dataset),Site,Longitude,Latitude,Cont,Age min [ka],Age max [ka],Age [ka BP] (median),Age [ka BP] (mean),Reference (AgeModel),Depth [m],July WA-PLS,TTT std err [±] (reconstruction error for mean...),July-MAT,TTT std err [±] (reconstruction error for mean...),Annual WA-PLS,TTT std err [±] (reconstruction error for annu...),Annual-MAT,TTT std err [±] (reconstruction error for annu...),Total precip WA-PLS,Precip annual total err [±] (reconstruction error with WA-...),Total precip MAT,Precip annual total err [±] (reconstruction error for annu...),T air (7) [°C] (reconstructed mean from July ...),TTT std err [±] (reconstruction error for mean...),Precip annual total [mm/a] (reconstructed from July tempe...),Precip annual total err [±] (reconstruction error for annu...),MAAT [°C] (reconstructed from annual mea...),TTT std err [±] (reconstruction error for annu...),Precip annual total [mm/a] (reconstructed from annual mea...),Precip annual total err [±] (reconstruction error for annu...),T air (7) [°C] (reconstructed mean July tempe...),TTT std err [±] (reconstruction error for mean...),MAAT [°C] (reconstructed from annual pre...),TTT std err [±] (reconstruction error for annu...),Precip annual total [mm/a] (reconstructed from annual pre...),Precip annual total err [±] (reconstruction error for annu...),Elevation (masl),Type of data,Location type
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,19.38,22.66,21.03,21.02,AWI,344.3,13.4,4.24,9.4,4.05,-0.7,3.99,-4,3.93,274,161.22,169,145.21,11.2,2.28,269,129.99,-1.7,1.59,278,118.23,12.4,3.88,-1.7,3.17,289,49.1,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,19.66,22.96,21.35,21.32,AWI,352.7,14.5,4.24,8.3,3.84,0.1,3.99,-4,3.53,250,161.25,256,140.07,10.9,2.28,231,130.03,-1.8,1.59,216,118.37,13.4,3.88,-0.4,3.17,287,49.04,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,19.98,23.21,21.68,21.63,AWI,361,13.6,4.24,9.4,4.07,-0.8,3.99,-4.8,3.39,290,161.22,263,134.51,11.2,2.27,265,129.9,-1.8,1.59,254,118.17,12.7,3.87,-1.7,3.16,292,48.95,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,20.2,23.53,22,21.95,AWI,369.4,12.9,4.24,9,3.75,-1.1,3.99,-3,3.86,266,161.28,244,146.78,10.7,2.28,264,130.01,-2.2,1.59,267,118.42,12.7,3.88,-0.7,3.17,303,49.11,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,20.56,23.75,22.29,22.26,AWI,377.7,12.9,4.24,10.1,3.51,-1.3,3.99,-4.1,3.34,288,161.23,291,133.56,11,2.27,290,129.91,-2,1.59,275,118.29,12.6,3.87,-1.8,3.16,294,49.02,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,20.86,23.91,22.63,22.56,AWI,386.1,11.4,4.24,8.5,3.55,-2.2,3.99,-3.4,3.43,280,161.24,245,144.15,10.5,2.28,275,129.97,-2.1,1.59,267,118.37,11,3.88,-2.4,3.17,305,49.12,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,21.11,24.16,22.96,22.87,AWI,394.4,13.1,4.24,7.9,3.54,-0.8,3.99,-5.1,3.33,286,161.23,291,135.94,10.8,2.27,294,129.93,-1.9,1.59,284,118.29,12.8,3.87,-1.2,3.16,298,49.03,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,21.77,24.26,23.25,23.18,AWI,402.8,12.6,4.24,8.5,3.75,-1.3,3.99,-4.1,3.81,272,161.32,170,147.83,10.7,2.28,268,130.07,-2.2,1.59,267,118.49,12.6,3.88,-1.2,3.17,300,49.15,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,22.19,24.43,23.56,23.48,AWI,411.1,12.7,4.24,7.4,3.53,-1.1,3.99,-4.4,3.47,302,161.24,337,132.95,10.8,2.27,299,129.94,-1.6,1.59,273,118.33,12.3,3.88,-1.3,3.17,306,49.06,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,22.82,24.65,23.87,23.83,AWI,419.4,11.8,4.24,8.7,3.63,-2.2,3.99,-3.4,3.51,263,161.23,270,145.03,10.7,2.28,255,129.96,-1.9,1.59,245,118.34,11.3,3.88,-2.2,3.17,298,49.08,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,23.74,24.87,24.21,24.24,AWI,427.8,13.4,4.24,12.2,3.46,-0.9,3.99,-4,3.34,308,161.22,233,134.82,11.4,2.27,302,129.9,-1.9,1.59,292,118.24,14,3.87,-0.9,3.16,292,49.01,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,24.03,25.46,24.61,24.64,AWI,436.1,13.5,4.24,11.5,3.43,-0.6,3.99,-1.9,3.39,280,161.26,291,135.38,11.1,2.27,274,129.98,-2.1,1.59,272,118.35,13.8,3.87,-0.3,3.16,290,49.16,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,24.36,26.65,25.24,25.3,AWI,444.5,13.2,4.24,11.8,3.45,-0.9,3.99,-2.3,3.37,296,161.24,264,138.44,11.1,2.27,298,129.91,-2,1.59,289,118.31,13.2,3.87,-1.1,3.16,296,49.08,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,24.75,30.2,26.37,26.69,AWI,461.2,12.5,4.24,11.6,3.46,-1.7,3.99,-3.2,3.35,268,161.28,264,137.23,10.8,2.27,261,130.01,-2.3,1.59,260,118.46,12.1,3.87,-1.9,3.16,286,49.1,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,25.31,31.96,27.7,27.96,AWI,477.9,15.2,4.24,11.5,4.08,0.4,3.99,-3.1,3.74,248,161.25,255,142.23,11.6,2.28,248,130.07,-1.4,1.59,245,118.24,13.7,3.88,-0.5,3.17,287,49.04,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,27.07,35.22,30.8,30.85,AWI,514,13,4.24,10.8,4.3,-1.7,3.99,-4.6,3.67,258,161.25,169,143.8,11.3,2.28,247,129.96,-2,1.59,240,118.27,12.8,3.87,-1.7,3.16,284,49.01,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,28.01,36.67,32.22,32.24,AWI,532.2,14.3,4.24,9.3,4.42,-0.6,3.99,-5.2,3.92,232,161.24,156,141.45,11.2,2.28,210,130.02,-1.8,1.59,192,118.35,13.3,3.88,-0.7,3.17,285,49.01,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,30.34,39.52,35.09,35.09,AWI,568.5,11.5,4.24,8.3,3.41,-1.5,3.99,-3.2,3.33,310,161.27,324,130.03,10.2,2.27,278,129.95,-2.3,1.59,268,118.36,10.5,3.88,-2.4,3.17,301,49.1,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,31.57,40.69,36.69,36.55,AWI,586.7,10.5,4.24,8,3.44,-2.4,3.99,-3.7,3.37,301,161.29,312,130.76,10,2.27,284,129.94,-2.3,1.59,290,118.21,10.1,3.88,-2.5,3.17,312,49.1,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,34.94,42.62,39.72,39.41,AWI,623.1,10.7,4.24,7.8,3.55,-2.6,3.99,-4,3.48,278,161.25,316,133.09,10.2,2.27,262,129.94,-2.4,1.59,266,118.34,9.9,3.88,-3.1,3.17,295,49.15,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,36.77,43.4,41.17,40.88,AWI,641.3,11.3,4.24,7.9,3.44,-2,3.99,-3.5,3.35,310,161.26,322,130.03,10.4,2.27,288,129.92,-2.3,1.59,294,118.25,11,3.87,-2.4,3.16,300,49.11,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,38.76,44.29,42.64,42.34,AWI,659.5,11.5,4.24,8,3.43,-2,3.99,-3.2,3.34,306,161.27,328,130.62,10.3,2.27,290,129.93,-2.3,1.59,295,118.21,11.2,3.87,-2.5,3.17,299,49.11,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,41.86,44.77,43.93,43.77,AWI,677.1,10,4.24,8.2,3.42,-2.9,3.99,-3.3,3.32,331,161.3,336,130.77,10.3,2.28,316,129.93,-2.2,1.59,328,118.23,10.4,3.88,-2.9,3.17,312,49.13,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,44.31,45.13,44.69,44.7,AWI,693.4,8.8,4.24,6.9,3.4,-3.4,3.99,-4.7,3.27,342,161.36,375,132.4,9.7,2.28,322,129.98,-2.7,1.59,337,118.37,8.7,3.88,-3.9,3.18,315,49.25,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,44.74,46.31,45.33,45.37,AWI,709.8,11.6,4.24,6.6,3.52,-2,3.99,-5.4,3.4,296,161.23,338,132.78,10.8,2.27,296,129.87,-2.1,1.59,304,118.19,11.6,3.87,-1.9,3.16,302,49.04,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,44.95,47.48,45.78,45.89,AWI,726.1,11.8,4.24,7.4,3.95,-1.6,3.98,-4.6,3.72,298,161.2,346,131.57,10.9,2.27,296,129.86,-1.8,1.59,295,118.14,11.7,3.87,-1.6,3.16,301,49,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,45.16,48.27,46.27,46.39,AWI,742.5,12.4,4.24,11.4,3.59,-1.3,3.99,-3.1,3.28,306,161.26,196,132.68,10.9,2.27,308,129.89,-2.1,1.59,315,118.23,13,3.87,-1.1,3.16,301,49.04,3200,Raw,Lake
